Yr,Seas,FltSvy,Gender,Part,Nsamp,F6,F8,F10,F12,F14,F16,F18,F20,F22,F24,F26,F28,F30,F32,F34,F36,F38,F40,F42,F44,F46,F48,F50,F52,F54,F56,F58,F60,F62,F64,F66,F68,F70,F72,M6,M8,M10,M12,M14,M16,M18,M20,M22,M24,M26,M28,M30,M32,M34,M36,M38,M40,M42,M44,M46,M48,M50,M52,M54,M56,M58,M60,M62,M64,M66,M68,M70,M72
2003,7,7,0,0,2024,0.143270724689712,0.301501432697261,1.00243172376855,1.54587026869432,2.76095324722111,2.70431082189875,4.61378128322645,8.50562778375172,9.05571598683873,9.75878427432437,8.99062542995847,6.77908633277454,5.48042876484542,5.28354036548215,4.74762125680117,4.77572277809796,4.27113764956164,4.12732768243206,2.80797019499186,3.12120514374176,1.98544273092503,1.53541895133203,1.75212151456904,1.02961353712623,0.914699974593692,0.614592583463196,0.483066359394341,0.507465082604053,0.217101003484245,0.0526769961951253,0.0585427556243336,0.0583809828923738,0.00698219099915293,0.00698219099915293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,7,7,0,0,1478,0.280233390615144,1.25758361801564,2.2996317076661,2.60385792590995,3.257896495896,2.83427495044354,4.73303436343799,8.07107026549362,10.1101626653486,11.3296136444136,8.8733016104129,7.0038327739508,6.39245104081367,5.43057502013563,4.66799871990453,3.25033067313843,2.95963482592908,2.8179021180424,2.32174283861656,1.78662718003463,1.71462081425955,1.60369551206499,1.63689845624633,0.70845800270899,0.692818888614654,0.542130993445904,0.267115686337352,0.205787670382476,0.0611591253131358,0.0867245478795529,0.0677386904552641,0.0828145701924763,0.00845966851244222,0.0398215453680136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,7,7,3,0,2176,0.164583484481395,0.389466065089697,1.04364810024821,1.74433387691949,2.87365643357743,2.03866289315322,2.41876001236392,5.01828506413957,5.16007240066314,5.5396748372438704,4.07533561803793,3.08365492887011,2.26492229275763,2.05204362937808,1.69061649029265,1.44396072537316,1.27298639882262,0.829476971268997,0.838128913278268,0.65602208297573406,0.668028144782368,0.610847264886514,0.578777247335503,0.289731041268548,0.276160152472052,0.272563695374751,0.173058141386286,0.125299106957026,0.0987849758222792,0.0969685183616863,0.0439173805948543,0,0.0209382286583101,0,0.164583484481395,0.389466065089697,1.04364810024821,1.7558152320059,3.04644578786998,2.04771944552168,3.15687439183793,5.52121431089112,6.60610979227912,5.80455379523123,4.38449796457756,3.24635189968031,2.4709561784177,2.46556185020139,1.79414384265707,1.52111977789836,1.37473303669103,1.38961855172524,0.771320308439767,0.800094109796054,0.809889111812993,0.538169665261918,0.337169818735059,0.28442106644868,0.0973166548368177,0.162741292086295,0.0696301544634359,0.044738039061899,0.0336684429275893,0.0140627119892891,0,0,0,0
2006,7,7,3,0,2294,0.0886083307927811,0.273635796297985,0.489992970822746,1.29008550959304,2.20299267870287,2.61289099485506,2.25212544866714,3.72361753937461,5.55804388298835,5.36785413071028,5.38126424038885,3.25315658586019,2.43598388838462,2.42440379571019,1.64864957263868,1.37544351167699,1.48766907684155,1.13711338671551,0.975215151047646,0.864114909772195,0.721238835928915,0.802528919617596,0.590241484400539,0.608088247243856,0.632146142426582,0.416302465210444,0.360057211248013,0.287146056160855,0.230614008488821,0.0705011774702692,0.0732798898566482,0.114007327988986,0.0230891697636214,0.0160249399451696,0.0886083307927811,0.273635796297985,0.489992970822746,1.29881951612074,2.15927348142845,2.1230191147097,2.58488445104202,3.71622736622906,4.53649288348723,5.22974429518375,4.93345270628332,3.96924952322822,2.91049455116989,2.5481147661022,2.27112029680509,1.82401891855191,1.82210969185655,1.25103057953862,1.33727172415689,0.89634050771318,1.27215225340874,0.910861373981319,0.619316903816992,0.333616652135027,0.424711438867258,0.196342615419332,0.038352057851845,0.0596112106113308,0.0846405625818244,0.00836618221442892,0,0,0,0
2007,7,7,3,0,2535,0.0421239283311793,0.347883093225576,0.801454088130646,1.1615277760113,2.03585482205594,3.09045375616947,3.51620604138408,4.07898209501094,7.57359345708278,5.83489085505536,5.75415010420612,3.40168620193932,3.11694647677936,1.90427418083159,1.72606356791652,1.76126065299821,1.36845784338584,1.05535045678777,1.06766475887894,0.632136493527414,0.734117811153099,0.626507032013899,0.609504991266448,0.481475526629321,0.300134342409735,0.309938156719771,0.242615023657308,0.218982264335498,0.252679396754605,0.0648118721098609,0.0529947192774805,0.044769721120528,0.018881620604525,0.088150053099484,0.0421239283311793,0.300487681774064,0.815281486799469,1.09746819974715,1.96376740636111,3.31436498866163,3.51926470774138,3.78499910486072,5.37463888543002,5.63999133584044,4.05361665841242,2.10541474019718,2.27767038640752,1.52859479988834,1.87734616468096,1.15315432893104,1.21533432533811,1.00960422009362,1.14763620411,0.809039673477315,0.557131128683838,0.402842441222441,0.637900486877676,0.377077274971051,0.295198415709793,0.202887153728873,0.0503110410858296,0.0617508862381392,0.0685787635387641,0,0,0,0,0
2008,7,7,3,0,2501,0.168289884291115,0.377324121045047,0.40775692793389,1.19659400978226,2.18077556435572,3.00055016700551,2.38595474817737,3.50201564470848,4.53984876886914,5.34042789972371,3.64173006930905,3.07638703747008,2.46297889803629,1.96884571178332,2.45323070932474,1.43851444372009,1.1243891567686,1.03477696125001,0.975539891030247,0.98288660287775,0.907465039861247,0.701074542649402,0.556481216893892,0.526392576825437,0.589611599475497,0.367288485743284,0.271854295073096,0.267905990236968,0.194615761971304,0.158490743508389,0.0915935581354095,0.0221728031995286,0.0102000278332899,0.013285992898781,0.168289884291115,0.377324121045047,0.40775692793389,1.21669508254062,2.16628594894541,2.89000051567341,2.81273410313645,4.28079113453958,4.83258956768456,6.03270311581721,5.64477807988831,3.80777998518814,3.31862279743329,3.43210363489768,1.94263519728315,1.51218440911998,1.72922388920736,1.34902722497985,0.996957065400656,0.936818239657085,0.836268653312917,0.745303824508608,0.567609918326329,0.453424404103991,0.244185397705526,0.160405772296694,0.0966560790185485,0.0348541007630467,0.0243012538708673,0,0.0222199098313694,0.0222199098313694,0,0
2009,7,7,3,0,2349,0.288921621940476,0.896763634382331,0.664651801002835,0.89686636456056,1.70107244313478,2.46404869858725,2.23480864064463,2.50392668595457,3.34660832931149,3.27567158472608,3.32483653585714,3.53815808572773,2.99299237763091,3.0381866517216,2.38862529129356,2.3492881938798,1.6019650602056,2.56958605676289,1.38269916865837,1.46482649834047,1.2159354025168,0.845008637545603,0.514073485744915,0.35174501722252,0.331782675771082,0.344388913854138,0.345539958805665,0.208649661537917,0.127705285423309,0.043968516282278,0.0686502198608705,0,0,0.00975703215503609,0.288921621940476,0.896763634382331,0.658728472317186,0.906316762698759,1.68270086292805,2.38517059992113,3.29415756899493,4.1254252669434,4.22848620521656,5.04100564563812,3.55356449942647,4.78315367654069,2.65586695433296,2.34289946635642,3.49007491450378,3.06130716789468,2.26759591093732,1.30967824666918,1.16850441227283,0.824180093909547,1.26185034437296,1.12583091884338,0.663882881183965,0.405406748427903,0.114536366136768,0.0913333545175413,0.0101609485376207,0.00685646113790125,0.0126840639756543,0.0112473979982916,0,0,0,0
2010,7,7,3,0,2487,0.240435805942946,1.26787730041892,1.44592054784429,1.74911140308645,1.96814327442202,2.4895009468862,2.55342836098503,2.83290026437972,4.47340875014885,4.75592829266782,3.69668014218366,2.23553413258617,3.029161432587,2.14718740388848,2.45101155684281,1.68349972268606,1.61335393627933,1.3119135634534,0.837369835141994,0.881126802000464,0.552734772651512,0.60974769631378,0.437873583572577,0.739645036971895,0.308456734208151,0.400804444296581,0.2966923378337,0.21944020404275,0.246829905632104,0.026348920094544,0.0295196532781616,0,0.00716492317797383,0,0.300123690853294,1.28162478453552,1.44592054784429,1.74911140308645,2.02047353028219,2.27253026435111,3.45977756020596,4.72877459210258,5.21690196209299,7.03541294690922,4.17324006629456,2.68385288378692,2.06941742612376,2.03103669842242,2.03956414549857,1.89794825039155,1.45272213131608,1.49305283870224,1.02491000147636,1.06822298079667,0.968707800756628,0.784863002976015,0.337714069801242,0.346575993148975,0.244256815329683,0.114603964941148,0.134822800880698,0.0618186855237031,0.0165183738385089,0,0.00674810122532156,0,0,0
2011,7,7,3,0,2397,0.198153785918224,0.453915633650452,1.03612011283177,1.27407350162383,1.49211884813727,1.74675902574755,2.66763462982986,3.39158067081276,4.23596295082383,4.70115663418203,4.31599892118226,3.50481166723719,3.21099635942504,2.44604114313477,2.00174165611343,1.47897012736084,1.37782661443011,1.20515900498063,1.15988290496446,1.2007052878597,1.20037840113844,0.664177047342125,0.408877602394862,0.456130588772888,0.593317712054827,0.530704712374251,0.541316169552388,0.336471735812899,0.292279764306433,0.0552493497861433,0.0466596457747442,0.00890102469830622,0,0.0131011070243149,0.198153785918224,0.453915633650452,1.03612011283177,1.28602821600107,1.43878137362836,2.22814321612308,3.15760669291863,4.40767736958193,5.63085634844,5.51411841604247,5.53603539240073,3.30853587758028,2.37221052658566,2.19404536006504,2.56022258330335,1.93595226977732,1.90159986327528,1.20717160165657,1.17244011643577,1.03257288829919,0.890791037938134,0.801600408086482,0.415757789575509,0.333939050460001,0.298197604304906,0.156049494312194,0.164239975325089,0.0514008767065238,0.00828937111344164,0.049955066810564,0.0104173395733597,0,0,0
2012,7,7,3,0,2411,0.0996242276874239,0.571446139969813,1.33835661442637,1.32170979465952,1.43634547258337,2.08560539293367,2.65388429824331,4.80368394850111,5.07519586427549,4.66167259865567,3.49787905406451,3.61592126882285,2.51452266105475,1.5115600504545,2.18093874218736,0.988541549465184,1.11962283460099,1.14367228910299,1.26108685317575,1.03827665603481,0.769367254910605,1.02473993649897,0.738712563576129,0.925356667056285,0.571198557443435,0.36841521977727,0.26431132162931,0.245117465571041,0.112725400705281,0.0453117425030438,0.0306629716865285,0.0445698229591176,0.0103901857557873,0.0260508155931483,0.0996242276874239,0.578237684723476,1.24219026175617,1.33228463226609,1.5284668732758,1.99633160531218,2.82035580805256,4.29081798716367,4.60159450433697,5.32023715060765,4.36864087593141,3.9283844937093,2.16386134411378,2.60827529110157,2.58991609453022,2.54741470351388,1.89942747327409,1.58745278915875,1.48711396708918,0.955441670169532,1.1673623763259,0.99055036287318,0.822423610688583,0.428441147878045,0.211139040922593,0.213034413507467,0.0700484662254211,0.0301785710914428,0.0161814639814788,0,0,0.00809487216676576,0,0
2013,7,7,3,0,1706,0.0530258387981737,0.600546990885936,1.51474369321586,1.71025585124437,2.50997096400748,2.55244660260612,2.59641055776833,3.23682067539247,4.0239382792559,4.46765381520712,4.69937779439296,3.08332531658384,3.10791398319063,2.06186345789446,1.34870517196527,1.53287910615729,1.00329073236145,0.405232809239128,1.01940445707567,1.0132182774311,0.49799134327697,0.334990789012975,0.187629592525089,0.348162041230592,0.293949120520203,0.323367634462434,0.435069790905808,0.19397337689704,0.115497868326188,0.153059810768895,0.100712526314264,0.0529458718675274,0.0499381836216655,0,0.0530258387981737,0.600546990885936,1.51474369321586,1.71025585124437,2.50997096400748,2.29461613788715,4.24837905672918,4.84462103178567,4.96633846400902,5.77345401155777,5.84355007272604,4.14792661703401,2.80053895847949,2.15743480930833,1.70019709829822,2.03401012193458,1.07281926123553,1.47356848771269,0.793026616573622,0.770022537398379,0.55349305141331,1.19493342260024,0.455069287347058,0.354776005135212,0.22275526090597,0.105617682312549,0.072057968291994,0.0519691883844881,0.0285489706186979,0.0234202177657903,0,0,0,0
2014,7,7,3,0,2390,0.129346605414075,0.0844110262072763,0.50943864893626,1.29411060163322,1.7176696768187,2.07670979496105,2.10601571485812,3.75559302382294,5.33983725381609,5.60531508844109,4.22466637155776,3.05229951372884,2.84258861962087,2.42999014451487,1.64856891729398,2.30287352525291,1.23173025810917,0.773109610322473,0.907754182098661,0.772957322600753,0.747489876467904,0.64486688509665,0.351955034786426,0.543529696002838,0.440848259073519,0.386963100890821,0.214754498815963,0.190070717067317,0.0859050922338818,0.132231840358016,0.0849814877810712,0.0312971847556698,0,0.00997525736110485,0.129346605414075,0.0844110262072763,0.50943864893626,1.3000597009028,1.73840385592511,2.44316097450148,3.26374648786442,4.32812653381004,5.74943360286202,6.36188625218476,5.22857913703487,3.95299413095468,2.88171421644983,3.45821132308602,2.19971711526719,1.59274764710325,1.93584529872368,1.22104871499003,1.2197497418826,1.27781828493979,0.617521772513836,0.678119938105331,0.399083557185995,0.260013586534308,0.207335205649134,0.134175360957914,0.0900967088771188,0.0277114262918166,0.0396483141440514,0,0,0,0,0
2015,7,7,3,0,2294,0.0854577657832232,0.179939720244406,0.431313471760321,0.975742724013446,1.60468356237189,2.17892085369197,2.8243387352984,3.7467143910685,6.31661780775035,6.31673608021008,3.75591260922293,2.74308471065555,2.2717013743395,1.90946662229535,1.62985532101714,1.47980980977463,1.29116354688699,0.963247238642194,1.11474412192634,1.06196926078496,0.799918885367899,0.619272909578204,0.639097063436752,0.549938214467033,0.551643027493819,0.377966678795789,0.305857649700494,0.192098129105406,0.0997028387553033,0.103242564514585,0.015107617124879,0.0324539629519292,0.0148186944018063,0,0.105372313593142,0.179939720244406,0.431313471760321,0.954368356129055,1.62030650949991,2.46391946551121,3.84492784163439,6.21072931935078,6.75124797720302,6.33742531263128,4.14422812824573,3.48641106884241,3.08261706405312,2.42261449855451,1.83004075195873,1.50696770094018,1.40606439671854,1.21968980986114,1.03792784893349,0.897641505225885,0.928617062431098,0.61441866990927,0.36838576475378,0.450876581404163,0.190150857536159,0.195531409650925,0.121883148972476,0,0.0138454810188246,0,0,0,0,0
2016,7,7,3,0,2453,0.0485702227559794,0.189897177423166,0.375177480639634,0.979659958719393,1.8759293279759,2.78218341403277,3.18906485290173,4.07637629465093,5.09683862388846,5.7588264510366,4.6420974769176,3.9001098186454,2.44761559703822,1.75081696497458,1.25861051268803,1.27796872716088,1.07994329151592,1.12333249437195,0.787759218234407,0.880025356693986,0.710194701830503,0.589648461989161,0.751409700424147,0.468908779752351,0.649028657696525,0.245799823146577,0.306441439797781,0.339102312690629,0.109262590453903,0.197131775909239,0.0471138883718371,0.0252607818631234,0.00814664628220228,0,0.0485702227559794,0.168950970053668,0.382765865407915,0.943632599727443,1.98378045091305,3.32337051058355,4.28490131278762,5.50948214536619,7.14963461416153,7.5798961040753,5.03234728291069,3.32502470049766,2.22519435389162,1.27080841643885,1.13065314898072,1.01559611293173,1.33908475577055,1.189177932118,0.967322305709492,0.941160508886483,0.659973231250079,0.532582955325685,0.357459481154985,0.214258415371236,0.272327910132871,0.0877147257479265,0.0516079303350238,0.0444682142406451,0,0,0,0,0,0
2017,7,7,3,0,2508,0.0131363980296963,0.214299202909554,0.124490682077085,0.329206780924241,1.01700901458432,1.41592203323593,2.65277379757578,4.50311408598267,6.14514051072324,5.16021101900371,5.0216238059148,3.06766716168557,2.4853242725941,2.17947999853815,1.61581049304914,1.10072867386265,1.84010980538615,1.44469175827316,1.26515782606909,0.860966627621988,0.818632563734622,0.794051118106935,0.519165847254769,0.60194651543136,0.472260033989291,0.434459080871039,0.146747978921895,0.166526572547827,0.0866350516819463,0.102549784407862,0.026518479290205,0.0162675834194263,0.00491585170732239,0.00710950405602966,0.0131363980296963,0.214299202909554,0.124490682077085,0.329206780924241,0.975944921581449,2.37428201354015,3.76834990371951,5.66464753689548,6.45411013792606,7.09605563300653,4.77475954592169,4.17468226432951,2.57329272080173,2.12760948853133,2.0662280484676,2.57890042231927,1.78975276240356,1.44101817429671,1.39674488965575,0.97049469062135,0.798644009365445,0.566567401164024,0.423165671587614,0.340089017085475,0.180980328435321,0.0433809514821621,0.0750208690407846,0.00491585170732239,0.00457976871205684,0,0,0,0,0
2018,7,7,3,0,2542,0.0427527732878927,0.123810436012691,0.486746918230064,0.711016573756087,1.50865882981172,2.50566022925871,4.79862113793949,4.3839888633493604,5.34963619075695,5.41196284940626,4.05047401058592,3.74884341817282,2.46834970348229,1.83877992148655,1.51839678392635,1.40747485746968,1.1120348910882,1.0833248118707,1.14026203337765,0.705716775266558,0.551144994120399,0.467460710405641,0.578561914167974,0.331267632583142,0.240392800190051,0.439152962815969,0.307374414927123,0.153866484769225,0.163843475291404,0.148972492273912,0.0420342743186816,0,0,0,0.0427527732878927,0.123810436012691,0.486746918230064,0.665085450095688,1.31673899973214,2.41812009372562,4.08097269362039,5.67260981589666,7.13123429534277,6.58207733367006,5.46230641838048,3.55986151231164,2.50568871906309,1.59740526535501,1.63289800263679,1.3597085734827,1.59477308537883,1.4093774205042,1.26197742645788,0.815506058280467,0.738544673528105,0.424054756236648,0.432166012008022,0.468302896818295,0.146429950950563,0.116159186351199,0.0490879329612945,0.0788639477868884,0.00615518749446012,0,0,0,0,0
2019,7,7,3,0,1209,0.0344002913095022,0.0249975867404861,0.229218751118957,0.359698822709328,0.487958972701822,1.43772958542262,2.31749354454756,3.52737406064259,5.84969457124208,5.66472584008498,5.68918252768463,3.87429604100184,3.07645103324565,1.99510513993029,1.34710171086219,1.70170177687692,1.27767976476734,0.960375812074008,1.13291369752153,0.893338292439704,0.544725666997259,0.516444241340542,0.506898489064857,0.471546036457836,0.47845524068997,0.435692022829305,0.495079172301294,0.112490034380354,0.156984129491719,0.15685181036305,0.0917132490347834,0,0.023339127391287198,0.0217924240629238,0.0344002913095022,0.0249975867404861,0.229218751118957,0.359698822709328,0.503004015250781,1.84549243757289,2.87144757672134,4.16270346289978,6.22284792481184,9.11072810683683,5.52580595380112,4.92426710200375,2.71276743785742,1.59238650753646,2.1394152426111,2.0449814050051,2.15481701037857,2.0417234934857,1.43322000646987,0.928627267626891,1.08225871649354,0.795466839632801,0.522606021305329,0.459774104247107,0.164101646946691,0.10268500813633,0.0580067391026279,0.0591010540586492,0,0,0,0,0,0
